Caudal;pH;Temperatura;Conductividad;Salinidad;Solidos Totales;O2;O2p;DBO5;DQO;FT;NT;Turbidez;Coliformes
586.9;7.9;21;941;0.4;471;0.28;3.7;230;292;4.6506;39.7424;1110;10200000
9.34;8.08;18.9;470;0.1;235;8.53;114.4;3;26;0.4809;5.5379;9;30000
39.29;7.82;16.2;645;0.2;322;2.39;31.9;100;171;4.5066;30.8567;65;2857142.85
165.6;7.17;21.2;876;0.4;438;0.2;2.7;520;787;5.2295;40.844;181;10857142.85
153.2;7.8;24.7;1010;0.4;505;0.17;2.4;420;816;9.0065;72.2443;411;17571428.57
1402;7.74;22.3;1056;0.5;529;1.56;21.3;150;282;5.7874;33.2728;137;21285714.28
14.14;7.76;21.8;187.8;0.05;94;4.86;64.4;7;46;0.1004;1.4134;5;1142.85
28.72;8.03;20.4;176.6;0.05;89;5.75;75.8;3;45;0.0996;1.5836;6;228.57
1149;7.71;26;1015;0.5;510;0.07;0.9;420;683;7.9721;49.5305;430;19285714.28
23.36;8.08;26.2;1063;0.5;502;2.43;36.3;300;524;8.7094;67.1909;257;13714285.71
589.8;7.88;23.8;1223;0.6;611;0.09;1.9;270;419;9.2177;29.7764;555;3428571.42
3.34;7.84;21.8;666;0.3;333;9.47;132.5;8;36;0.5676;4.3694;2;10000000
61.62;7.84;16.1;636;0.2;317;3.4;44.3;55;184;3.7724;20.3217;44;22714285.71
142;7.5;21.5;948;0.4;474;0.17;2.3;320;525;5.8661;44.1266;108;1000000
125;7.8;24.4;977;0.4;489;0.09;1.2;400;763;8.4129;57.9723;364;13714285.71
1274;7.78;21.9;1056;0.5;529;2.49;34.4;130;258;5.6247;34.8467;281;23428571.42
16.07;7.72;24.1;179.7;0;89;4.46;65.6;5;29;0.1435;1.1544;2;23285714.28
17.65;8.01;20.8;189.2;0;95;4.5;70.9;2;19;0.1326;1.3876;3;2414.28
763.2;7.7;29.2;1064;0.5;535;0.4;0.5;210;414;6.8167;51.5308;177;57.14
28.47;7.99;29.9;1098;0.5;549;0.45;6.5;380;665;9.1159;71.2551;333;15857142.85
692.54;7.8;24.5;1088;0.5;543;0.2;2.8;250;445;5.6279;41.7491;416;19000000
2.5;8.03;23.5;920;0.4;460;8.42;120;10;18;1.0503;6.7761;6;8571429.57
64.83;7.76;17.1;740;0.3;370;2.25;30;160;339;6.338;43.7707;131;51857.14
203;7.38;22;1004;0.4;503;0.15;2;440;754;8.1811;47.9448;288;4142857.14
78.32;7.78;22.4;1012;0.4;507;0.13;1.7;310;421;7.3404;57.2495;208;16714285.71
27.89;7.76;22;188.7;0;94;5.76;81.4;6;24;0.1202;0.8935;4;26142857.14
46.46;7.84;21;178.8;0;89;5.78;80.2;3;11;0.0921;1.421;4;1500
1540;7.68;23.4;1065;0.5;531;0.76;10.3;165;283;5.1756;38.1972;356;114.28
849.2;7.62;28.6;1072;0.5;537;0.11;1.6;280;551;8.4506;46.2768;285;7857142.85
17.6;7.96;29;1086;0.5;543;2.58;40.1;290;455;8.9512;65.3998;266;11714285.71
967.7;7.81;19.9;799;0.3;400;3.82;49.2;95;201;3.5371;36.2864;815;16571428.57
2.526;7.62;19.3;168.1;0;84;5.02;65.4;2;46;0.203;0.8132;5;21428571
38.64;8.06;19.9;174.2;0;87;6.1;79.1;1;21;0.1133;1.6167;8;6571
1090;7.9;22.1;868;0.4;434;2.62;36.9;60;179;3.398;30.4457;115;597
620;7.9;25.6;905;0.4;452;0.17;2.3;110;231;4.6691;38.8273;67;14571428
20.2;8.08;27.8;1195;0.5;599;0.22;3.4;700;1126;13.8936;78.1688;525;44428571
50.88;7.16;19.7;647;0.2;323;4.88;66.6;75;161;3.7776;25.4578;39;7857142
91.84;7.9;22.3;825;0.3;412;2.13;28.7;200;312;5.5931;34.5508;134;15142857
20.7;6.912;21.2;175.6;0;88;5.06;67.2;1;32;0.0926;1.3282;4;12000000
650;8.25;21.4;621;0.2;311;4.22;54.8;175;209;3.3002;21.0564;960;700
10.29;8.08;20.7;351;0.1;176;5.21;69.1;18;53;0.9445;5.8461;165;2714285
75.04;7.88;18.1;700;0.3;350;1.05;14;100;409;5.4123;34.8613;49;4285714
2304;7.91;25.2;844;0.4;422;0.63;6.72;85;204;3.9385;33.2403;155;3571428
659;7.65;23;1000;0.4;500;0.02;0.03;240;674;6.4791;34.0407;192;16857142
5.65;7.15;20.9;380;0.1;190;2.78;36;18;58;1.2327;2.8379;19;198571
2084;7.98;22.1;543;0.2;274;4.86;54.7;42;64;1.0912;9.9214;287;4000000
863;7.9;26.1;742;0.3;371;0.27;2.4;95;163;1.9293;19.8812;173;6285714
811.7;8.24;25.1;898;0.4;449;2.27;26.5;170;354;4.3024;31.5738;255;12142857
41.1;8.25;28.6;954;0.4;477;0.88;10.3;320;529;7.1024;51.163;783;13142857
68.36;7.8;17.4;448;0.1;224;5.47;73.3;38;73;1.2866;12.5276;19;857142
203.7;7.7;23.3;628;0.2;314;0.14;1.9;115;184;2.3951;17.4201;74;15142857
117.6;7.7;27;925;0.4;463;0.13;1.9;320;584;6.4112;38.6459;300;8142857
3.853;7.5;22.7;181.3;0;91;5.27;70.7;5;31;0.2011;1.0123;19;5171
29.201;8.1;21.7;174.3;0;87;7.42;98.2;1;13;0.1069;1.9029;6;285
2533;7.66;22.1;505;0.2;253;4.75;62.8;40;60;1.1641;10.9048;144;2285714
906.6;7.77;24;621;0.2;311;0.56;7.8;90;183;2.4678;20.1586;120;17285714
46.96;8.05;27.7;981;0.4;491;1.12;16.5;270;481;6.7488;49.6217;445;64857142
78.43;7.82;17.9;504;0.2;252;5.3;72.4;46;59;1.9652;17.9594;31;1428571
188.6;7.39;21.6;561;0.2;281;0.79;10.5;170;294;1.3078;13.4845;33;26857142
132.9;7.77;23.6;923;0.4;462;0.09;1.3;280;542;6.0682;45.4676;248;52857142
481;7.84;23.7;959;0.4;479;0.22;2.4;250;459;6.9804;42.0174;200;16142857
9.3;7.98;20.9;484;0.2;242;7.2;97.2;1;17;0.3355;1.7657;9;11428
34.45;7.96;21.1;179;0;89;7.48;98.5;1;5;0.1285;1.4201;3;400
12.19;7.71;26.6;189.2;0;95;6.48;92.5;3;8;0.0943;0.9554;7;8128
2037;7.77;21.1;697;0.3;349;4.96;65.1;28;77;1.9777;15.8318;296;5714285
831.8;7.69;25.3;1061;0.5;531;0.14;1.9;85;171;3.0886;27.0829;242;11857142
42.37;7.86;28;1153;0.5;576;0.08;1.2;500;938;12.6371;81.7255;581;35857142
753.7;7.83;24.8;882;0.4;441;1.09;14.3;220;338;4.2504;19.1683;215;16857142
121.9;8.04;22;246;0;122;7.45;100.8;5;46;0.306;2.673;27;45714.28
28.39;8.06;21.8;177.5;0;89;7.33;99.3;5;13;0.1182;1.9169;7;614.28
20.4;7.57;28.4;185;0;92;6.44;95.1;15;112;0.4963;5.6781;525;11714.28
68.9;7.36;18.8;421;0.1;210;5.04;67.7;85;187;2.7492;17.003;88;5428571
392.9;7.74;23.3;264;0;132;6.72;92.5;80;283;2.0738;20.303;748;11000000
202.2;7.69;24.8;750;0.3;375;4.71;77.2;250;464;4.3004;30.8636;470;11000000
1505;7.69;22.5;669;0.3;335;5.06;66.9;44;62;1.1345;10.7476;102;9428571
720.3;7.79;25.3;977;0.4;488;0.24;3.4;130;234;3.3021;20.3434;136;11714285
40.73;8.05;26.7;1098;0.5;549;0.92;13.14;600;1065;12.4414;58.1341;700;33714285
108.9;7.72;17.9;388;0.1;194;6.75;88.9;20;39;0.9231;8.4115;21;1000000
384.2;7.81;21.6;316;0.1;159;7.31;97.3;58;108;1.293;10.6876;263;2714285
195.8;7.75;26.5;945;0.4;473;0.15;2.2;340;780;7.8178;44.8574;372;20428571
573;7.8;22.9;1001;0.4;500;0.2;2.6;200;372;5.1296;33.9225;201;20142857.14
49.3;8.26;21.9;305;0.1;153;7.56;98.9;1;30;0.2808;3.0424;8;4285
27.91;7.22;22;180;0;90;7.38;97.5;4;20;0.1152;1.6256;5;685
1825;7.31;22.4;685;0.3;343;4.77;62.9;38;103;2.0958;13.9157;30;857142
900;7.74;25.8;891;0.4;445;0.14;1.9;100;214;3.5852;22.4873;69;9714285
42.14;7.97;26.1;1092;0.5;544;1.02;14.9;420;771;8.0208;55.0177;430;22714285
94.96;7.71;17.4;633;0.2;317;4.88;63.6;135;228;4.1818;27.316;41;857142
310;7.36;20.9;536;0.2;268;1.97;25.8;210;302;2.5115;12.9572;87;4428571
149.3;7.69;24.9;893;0.4;446;0.27;3.9;270;416;4.9214;32.337;187;28714285
560.9;7.43;24.5;895;0.4;447;0.15;2;190;332;4.4353;20.4185;150;9571428
54.19;7.73;21;273;0;132;7.59;100.6;3;18;0.5884;2.9066;13;12142
28.36;7.67;21.4;175.7;0;88;7.72;100.6;2;2.5;0.1119;1.7528;4;114
19.34;8.14;23.7;176;0;88;7.62;105.7;1;7;0.1252;1.022;4;2285
